sentenceid	sentenceurl	sentence	fact_rater1	fact_rater2	fact_rater3	fact_majority	pol_rater1	pol_rater2	pol_rater3	pol_majority
89	http://attac-typo.heinlein-support.de/attac-typo3/archive/GATS/www.attac.de/gats/hintergrund/03_04_07_stellungnahme_fritz.html	Für soziale Bewegungen wie Attac und andere verbanden sich bisher keinerlei Chancen mit der laufenden GATS-Runde , da es keine hinreichende Transparenz der Verhandlungen gab .	s	s	s	s	-	-	-	-
90	http://www.netzwerkafrika.de/dcms/sites/nad/laender/kamerun/ereignisse/archiv1990-2000.html	Ökonomisten befürchten eine stärkere Inflation und eine Destabilisierung der Wirtschaft und mögliche soziale Spannungen .	s	s	s	s	-	-	-	-
91	http://www.medizinauskunft.de/artikel/diagnose/krankheiten/Ruecken_Gelenke/11_06_angst_ruecken.php	Denn mit der Schmerzerfahrung beginnt ein Teufelskreis , aus Angst vor Schmerzen und Angst vor Bewegung .	o	o	s	o	-	0	-	-
92	http://www.tentmaker.org/german-articles/dieholle.htm	Und diese Unerreichbarkeit sei selbstverschuldet , sei das Ergebnis beharrlichen , bewußten Widerstandes , frecher Auflehnung gegen Gott und Seinen Christus .	s	s	s	s	-	-	-	-
93	http://www.wikiweise.de/wiki/F.W.A.%20Sert%C3%BCrner	Er zeigt sich durch Schmerz in der Magengegend , Ermattung und starke an Ohnmacht grenzende Betäubung .	o	o	o	o	-	0	-	-
94	http://www.verbraucherzentrale-niedersachsen.de/link542161A	Zum Schmerz über den Verlust eines geliebten Menschen wollen nüchterne Entscheidungen über Bestattungsformalitäten gar nicht passen .	s	s	s	s	-	-	-	-
95	http://www.wasser.de/aktuell/forum/index.pl?job=thema&amp;tnr=100000000002137	Es gibt keine sichere Kontrolle , wann ein Filtereinsatz gewechselt werden muß .	o	o	o	o	-	0	-	-
96	http://www.dctb.de/dctb/medien/1artikel.php?we_objectID=933	Eine Drachme war ein Tagelohn , und wenn der Knecht eine Million Drachmen Schulden hatte , war er faktisch mit unbezahlbarer Schuld beladen .	o	o	o	o	-	0	-	-
97	http://www.horst-walther.de/travel/roedelei/grsisbel.htm	Er blieb fast eine Viertel Stunde und erzählte ein wenig über den vergangenen Abend und klagte mir sein Leid über den Kühler , dann das Ding einfach nicht richtig dicht zu kriegen sei und daß es hier am Orte keine Kühlerreparaturwerkstätte gäbe .	o	o	o	o	-	0	-	-
98	http://geschaut.com/?s=20437&amp;p=&amp;c=random	Ich habe jetzt starke Schmerzen , wie Messerstiche so scharf .	s	s	s	s	-	-	-	-
99	http://www.aufrecht.de/3802.html	Der Skandal-Schiri hat zahlreiche Manipulationen mittlerweile eingeräumt - in Berlin gab es bereits erste Verhaftungen .	s	s	s	s	-	-	-	-
100	http://www.verkehrslexikon.de/Texte/EUFahrerlaubnis43.php	Spätestens bei einer Verkehrskontrolle werden die deutschen Behörden in der Folge Zweifel an der Eignung erheben .	o	o	s	o	-	0	-	-
101	http://www.kirche-ahlerstedt.de/Gemeindebrief/27_Mai__Juni_2010.pdf	Geburt , Tod , Krankheit und Heilung , Freude und Klage .	o	s	o	o	0	0	0	0
102	http://www.dieterwunderlich.de/Newell_hochzeiten.htm	Hochzeit und Beerdigung , Leben und Tod , Glück und Trauer , Lachen und Weinen gehören hier zusammen .	s	s	s	s	+	0	0	0
103	http://dip.bundestag.de/btd/15/044/1504481.pdf	Die Problematik einer allgemein akzeptablen Definition des Terrorismus mit der Abgrenzung von Terrorismus und Freiheitskampf konnte auf diese Weise bisher aus den Übereinkommen herausgehalten werden .	o	o	o	o	0	0	0	0
104	http://gutenberg.spiegel.de/buch/4493/1	Zuletzt gießen Sie wenig Weingeist hinzu und bewahren die gut verschlossene Flasche an kühlem Ort auf .	o	o	o	o	0	0	0	0
105	http://www.gestalt.de/provokative_therapie_1.html	"Sein Buch "" Provokative Therapie "" liegt in deutscher , italienischer und französischer Übersetzung vor ."	o	o	o	o	0	0	0	0
106	http://www.jochen-hippler.com/Aufsatze/Burgerkrieg_und_Wiederaufbau_i/burgerkrieg_und_wiederaufbau_i.html	Systematischer Widerstand hätte diesen einfachen Weg zur Macht eher gefährdet denn gefördert , er wäre also kontraproduktiv gewesen .	s	s	s	s	-	-	-	-
107	http://www.gemeindearchiv.at/nc/gemeindearchive/dokumente/ptr/1/sort/sizedesc/	Sie liefert Meldungen über das politische Ortsgeschehen , interessante Bräuche und kulturelle Veranstaltungen oder greift ernste , soziale , kirchliche , lustige oder kuriose Themen auf .	o	o	o	o	0	0	0	0
108	http://www.textezumfilm.de/sub_detail.php?id=255	Liebe und Freundschaft , Rache , Treue und Verrat .	o	s	o	o	0	0	0	0
109	http://www.konrad-fischer-info.de/11entwf.htm	Konservierung oder Renovierung , Reparatur oder Austausch , Erhaltung oder Abbruch , Nutzungsverzicht oder Übernutzung sind neben der Frage nach Reversibilität der neuen Konstruktionen die Maßstäbe , an denen der Entwurf am Baudenkmal gemessen werden müßte .	s	o	s	s	0	0	0	0
110	http://gruene-berlin.de/positionen/stach_arg/113/31_buben.html	Der laute Ruf der law-and-orderFraktion in CDU und SPD nach härteren Strafen und geschlossenen Heimen ist falsch und verdient unseren entschiedenen Widerstand .	s	s	s	s	-	-	-	-
111	http://film.gruene-berlin.de/site/483.html	Deutsche und nichtdeutsche , behinderte und nichtbehinderte , ärmere und reichere Kinder leben zusammen in dieser Stadt und sollen gemeinsam aufwachsen .	s	s	s	s	+	+	+	+
112	http://www.die-dkp-leipzig.de/Dokumente/Philosophie%20und%20Politik_Festschrift%20fuer%20Robert%20Steigerwald.pdf	Zweifelsohne ist dies die wichtigste theoretische Grundvoraussetzung für die Formierung einer marxistisch sozialistischen Programmatik und einer realistischen Politik wirklich linker Kräfte .	s	s	s	s	0	0	0	0
113	http://www.fes.de/research/fpolicy/sturm.html	Der Volkskongreß wählte einen provisorischen Rat mit Hussein Achmadow an der Spitze sowie ein provisorisches Komitee zur Ausarbeitung von Gesetzen unter Führung von Letschi Magomadow .	o	o	o	o	0	0	0	0
114	http://www.math.uni-hamburg.de/spag/gn/N/nb34-04.html	März 2003 waren wir alle in Christians Sternwarte zum astronomischen Praktikum eingeladen .	o	o	o	o	0	0	0	0
115	http://www.ahlbach-online.de/tippsundtricks.htm	Nach neuesten Erkenntnissen soll man leichte Verbrennungen oder Verbrühungen geringen Grades ( ohne Blasenbildung ) an der Luft heilen lassen ( nicht mit Pflaster oder Verband abdecken ) .	o	o	o	o	0	0	0	0
116	http://www.kommunisten-online.de/archiv_2004.htm	In der Fortexistenz einer solchen PDS sehe ich jedoch nur noch ein Hindernis zur Sammlung der linken Kräfte , weil eine solche PDS allein auf Grund ihres Namens weiterhin linke Kräfte bindet und von einer Neuformierung ablenkt .	s	s	s	s	-	-	-	-
117	http://www.kath.net/detail.php?id=6738	Mit großer Sensibilität gelingt es zu zeigen , wie in der Passion Christi Hass und Liebe , Brutalität und Zärtlichkeit , grausamer Spott und mitfühlender Trost ineinander verwoben sind .	s	s	s	s	0	0	0	0
118	http://www.sfv.de/lokal/mails/wvf/okunsche.htm	Eine energische Verbilligung der Lohnkosten und gleichzeitig eine ebenso energische Verteuerung von Energie durch Energiesteuern muss möglichst rasch den Anreiz für die ständig laufende Substitution von Arbeit durch Energie beenden .	s	s	s	s	0	0	0	0
119	http://www.weberberg.de/abc/texte/afrot.html	Der Salomonsiegel galt früher als geheimes Mittel , um verschollene Schätze zu finden .	o	o	o	o	0	0	0	0
120	http://www.projektwerkstatt.de/aes/national.html	Volks-Herrschaft folglich auch nichts emanzipatorisches - aber die richtige Übersetzung für Demokratie , die ebenfalls nicht Befreiung , sondern integrative Herrschaft bedeutet .	s	o	s	s	0	0	0	0
121	http://www.hohle-erde.de/cgi-bin/yabb/YaBB.pl?num=1100819957	Die ist das Buch von Marduk , der von Enki , dem Herren der Magier , gezeugt wurde , der Tiamat besiegte , die als KUR bekannt ist , als HUWAEA im Magischen Streite , der die Alten besiegte , so dass die Älteren ( die Götter des Spärenplaneten ) leben und die Erde regieren können .	o	o	o	o	0	0	0	0
122	http://www.astro.uni-bonn.de/~dfischer/news/610.html	Vor allem war die Columbia die ganze Zeit weiter korrekt dem Flugplan gefolgt , inklusive einiger ziemlich starker Drehbewegungen ( » Roll Reversals « ) , die zur effizienten Vernichtung von kinetischer Energie dienen ( die erste Rolle war um 14:56 MEZ beendet ) .	o	o	o	o	0	0	0	0
123	http://www.karmel.at/edith/genHaupts.htm	Das in Solidarität mit allen , die leiden , gelebte Kreuz Christi ist auch ein Weg , um mit der Hoffnung auf das Leben und die Auferstehung an den Freuden und Hoffnungen , der Trauer und den Ängsten der Menschen teilzunehmen .	o	s	s	s	0	+	+	+
124	http://www.dig-frankfurt.de/site/aktuelles/israel-nachrichten/routine-des-terrors.html	In Israel zog man gleichfalls die Bilanz und fragte sich nach dem Gleichgewicht zwischen Schrecken und Zuversicht , Optimismus und Pessimismus .	o	s	o	o	0	0	0	0
125	http://www.studis-online.de/Fragen-Brett/read.php?3,50707,50714,quote=1	Vorprüfungszeugnis einer bayerischen Fachhochschule ) berechtigt nur zum Studium bestimmter Fächer .	o	o	o	o	0	0	0	0
126	http://www.bmbf.de/de/6459.php	Trotz dieser erheblichen Steigerung der absoluten Zahlen beträgt ihr Anteil seit Einführung der neuen Ausbildungsberufe im Jahre 1997 mit 22,6 % weniger als ein Viertel der Auszubildenden .	o	o	o	o	-	0	-	-
127	http://www.gestalt.de/polster_miriam.html	"Diese Interaktion , die gleichermaßen reich und fruchtbar wie auch unbeholfen und unbefriedigend sein konnte , nannte er "" Kontakt "" ."	o	s	o	o	0	-	0	0
128	http://www.sbg.ac.at/geo/agit/papers95/dschmidt.htm	Das modular aufgebaute Fuzzy-Entscheidungssystem ( im mittleren Bereich der Abbildung 1- repräsentiert durch die grau unterlegten Felder ) erhält als Input eine Datei , in der die Tag-/ Nacht- OST-Werte pixelweise gespeichert sind .	o	o	o	o	0	0	0	0
129	http://www.burhoff.de/insert/?/veroeff/aufsatz/zap_f9_s739ff.htm	Die nachfolgenden Ausführungen gelten für alle Fälle , in denen nach der BußgeldkatalogVO die Verhängung eines Fahrverbots in Betracht kommt , also nicht nur für die Geschwindigkeitsüberschreitung , sondern z. B. auch für die Fälle der Trunkenheitsfahrt nach § 24a StVG , wobei aber bestimmte Besonderheiten zu beachten sind ( vgl. u. III .	o	o	o	o	0	0	0	0
130	http://www.zeitschrift-marxistische-erneuerung.de/archiv/xxinfo/h040s103.html	Diese hegemoniale Strategie wurde und wird mit den Mitteln des Völkerrechts und innerhalb der bestehenden internationalen Organisationen betrieben , notfalls aber auch gegen diese bis hin zum formellen Bruch mit beidem , so etwa schon im Falle der militärischen Interventionen in Grenada oder Panama .	o	s	o	o	-	-	-	-
131	http://www.taz.de/dx/2003/05/24/a0236.1/text	In jedem Fall jedoch , gleich ob Handlung oder Gedanke , kann ein Fehler nur festgestellt werden , wenn es einen Beobachter gibt , der darüber entscheidet , ob es sich um eine richtige oder falsche Handlung , einen richtigen oder falschen Gedanken handelte .	o	o	o	o	0	0	0	0
132	http://www.detlev-wulf.de/tmbuch98/definiti.htm	Er muß aber die Möglichkeit haben , sich möglichst objektiv zu informieren , damit er sich zwischen guten und faulen Früchten von echten und falschen Propheten entscheiden kann .	s	s	s	s	0	0	0	0
133	http://www.das-weisse-pferd.com/03_05/freier_wille.html	Den Philosophen ist dieses Paradox zwischen » objektiver Bedingtheit « und » subjektiver Freiheit « des Menschen schon seit langem bekannt .	o	o	o	o	0	0	0	0
134	http://www.hopkinsville.de/files/horoskop.htm	Pluto steht für gewaltige Energien , die konstruktiv oder destruktiv eingesetzt werden können .	o	o	o	o	0	0	0	0
135	http://www.hans-hass.de/Energon/090_103_Das_Geruest_der_Konkurrenzfaehigkeit.html	Wer bei begrenztem Bedarf diesen schneller erkennt und befriedigt , ist dem Konkurrenten um eine Nasenlänge voraus .	s	s	s	s	+	+	+	+
136	http://www.experto.de/b2b/personal/mitarbeiterfuehrung/fristlose-kuendigung-so-gehen-sie-bei-beleidigungen-arbeitsrechtlich-vor.html	Denn der Arbeitsrichter wird im Kündigungsschutzprozess eine umfassende Aufklärung aller Umstände vornehmen , unter denen die vermeintliche Beleidigung gefallen ist .	o	o	o	o	0	0	-	0
137	http://www.jochen-hippler.com/Aufsatze/Burgerkrieg_und_Wiederaufbau_i/burgerkrieg_und_wiederaufbau_i.html	Und die Sicht breiter Teile der Bevölkerung auf die Widerstands- und Terroristengruppen hängt nicht zuletzt davon ab , ob sie ihre Zukunft mit Hoffnung oder Aussichtslosigkeit betrachtet , und wie ihre Lebensumstände sind .	s	o	s	s	0	0	0	0
138	http://www.streitblatt.de/streitblatt/sb7/domagk.html	Man inszeniert sich als junge künstlerische Avantgarde und übersieht , daß Avantgarde keine tiefgreifende Rebellion ist , sondern ein Vorgriff auf den Weg zur Mitte , an welchem dann jedoch verdient wird .	s	s	s	s	-	-	-	-
139	http://www.gaebler.info/hamburg/reformschulatlas.pdf	Wir erwarten , dass die Evaluierung verschiedener Schulformen offenbaren wird , dass es gute und schlechte Gesamtschulen und gute und schlechte Gymnasien gibt .	s	s	s	s	0	0	0	0
140	http://www.ml-werke.de/marxengels/me06_212.htm	Monarchische Restauration oder - rote Republik , das ist jetzt die einzige Alternative in Frankreich .	s	s	s	s	0	0	0	0
141	http://www.mpil.de/ww/en/pub/research/details/publications/institute/rspr/r86.cfm?fuseaction_rspr=act&amp;act=r8693_127	Dieses Merkmal würde entgegen dem klaren Gesetzeswillen durch eine rein subjektive Bestimmung des Fluchtendes letztlich bedeutungslos .	s	s	s	s	-	-	-	-
142	http://www.bpb.de/themen/8GADVU,1,0,Zwischen_Frust_und_Flow.html	Die medialen Botschaften sind so strukturiert , dass bestimmte emotionale Reaktionen wie Freude , Hass , Traurigkeit , Spannung , Angst möglich werden .	s	s	s	s	0	-	0	0
143	http://www.projektwerkstatt.de/gav/texte/elite01.htm	Im Uni-Streik im November 2003 erfand die Uni-Leitung , u. a. Uni-Präsident Hormuth , einige Sachbeschädigungen am Phil II , um die Leitungsgremien der Studierendenschaft zu Distanzierungen zu zwingen und deutliche Spaltungen in den Streik hineinzutragen .	s	s	s	s	-	-	-	-
144	http://www.textlog.de/41577.html	Diese Künstler haben , da sie das hohe Ernste nicht mehr erreichen konnten , das Humoristische sehr glücklich getroffen .	s	s	s	s	+	+	+	+
145	http://www.jungefreiheit.de/Semantische-Landnahmen.525.98.html?&amp;cHash=b25c78e47e7b88eeb4d356e281365cd3&amp;tx_ttnews%5BbackPid%5D=432&amp;tx_ttnews%5Btt_news%5D=45184	Hier bestehe Nachholbedarf , beiden Geschlechtern müsse praktische wie kritische Theorie abgerungen werden , auf daß die einschlägige Politikberatung mehr Boden unter die Füße bekomme .	s	s	s	s	-	-	-	-
146	http://www.anarchismus.at/txt2/aktion.htm	Ich gehe davon aus , dass die Protestierenden vorhatten , bestimmten zerstörerischen Praktiken im Zusammenhang mit der WTO ein Ende zu bereiten , ebenso wie andere , noch zerstörerische aufzuhalten und nicht nur zur reinen Behinderung des Zusammenkommens einiger Leute an einem bestimmten Ort zu einer bestimmten Zeit .	s	s	s	s	+	+	-	+
147	http://www.vampyrbibliothek.de/geschriebenes/kurzgeschichten/gaeste-dunkel/027-schlaefer.htm	Seine Stimme besaß einen angenehmen Klang und den Hauch eines sympathischen , ihr unbekannten Akzents .	s	s	s	s	+	+	+	+
148	http://www.drehbuchwerkstatt.de/Fachtexte/schopenhauer.htm	Dies ist jedoch manchem Schreiber willkommen , der nämlich absichtlich schwer verständlich und dunkel schreiben will , weil er dadurch dem Leser Respekt einzuflößen vermeint , der Lump !	s	s	s	s	-	-	-	-
149	http://www.sozialismus-von-unten.de/archiv/text/friedensbewegung_israel.htm	Wir glauben nicht , daß konsequente Opposition darauf verzichten kann , selbst eine Alternative zu verkörpern .	s	s	s	s	0	0	0	0
150	http://waltpolitik.powerbone.de/herstory/ge_russi.htm	Gerade die Alternative Krieg oder Frieden bewirkte jene Zerreißproben , an denen im Revolutionsjahr 1917 insgesamt vier Ministerkabinette der bürgerlichen Regierung zerbrachen .	s	s	s	s	-	-	-	-
151	http://www.inewsnet.de/feed.php?mode=make_pdf&amp;id=61	An der neu gegründeten Universität für Gesundheitswissenschaften in Hall in Tirol versuchen sie nun genau zu untersuchen , wie der durchschnittlich trainierte menschliche Organismus auf dünne Luft und andauernde Anstrengung reagiert .	o	o	o	o	0	0	0	0
152	http://www.medizinauskunft.de/artikel/diagnose/krankheiten/Schmerzen/28_08_schmerz.php	Eine ganze Kette von Reaktionen führt dabei zu einer Überempfindlichkeit der Zellen und bereits schwache Impulse in den Schmerzfasern veranlassen starke Erregungen .	o	o	o	o	0	0	0	0
153	http://www.digitalkamera.de/Software/Photomatix_Pro_2_05/2720.aspx	"Ist der Kontrastumfang ( High Dynamic Range , kurz HDR ) zu groß , kann man mit "" Photomatix Pro , Version 2.05 "" von MultimediaPhoto verhindern , dass ganze Bildpartien entweder in dunklen oder hellen Bereichen keine Zeichnung mehr aufweisen und wie zugelaufen bzw. weggebrannt aussehen ."	o	o	o	o	0	0	0	0
154	http://www.mlwerke.de/me/me04/me04_125.htm	Die gute Seite und die schlechte Seite , der Vorteil und der Nachteil zusammengenommen bilden für Herrn Proudhon den Widerspruch in jeder ökonomischen Kategorie .	s	o	o	o	0	0	0	0
155	http://www.magdeburg-foto.de/fahnenhalle.htm	Seit einigen Jahren werden die Gebäude nach aufwendiger Renovierung vom Finanzamt genutzt .	o	o	o	o	0	0	0	0
156	http://www.kindergartenpaedagogik.de/424.html	Nach dem Urknall spaltete sich die Urkraft in 4 Naturkräfte - die Gravitation , die Starke Kraft , die Schwache Kraft und die Elektromagnetische Kraft .	o	o	o	o	0	0	0	0
157	http://www.spiegel.de/spiegel/unispiegel/d-40448975.html	Denn hier geht es nicht um guten oder schlechten Duft , sondern allein um Intensität .	s	o	s	s	0	0	0	0
158	http://www.weberberg.de/abc/texte/kp7.html	Lohnt sich zu lesen , denn es geht um Krieg und Frieden .	s	s	s	s	+	+	+	+
159	http://www.reich-der-spiele.com/kritiken/CaptnClever	"Auf diese Weise sucht er nach bestimmten Schätzen , die er als erster finden muss , um seinem Spieler den Titel "" Capt'n Clever "" einzubringen ."	o	o	o	o	0	0	0	0
160	http://hexenkueche.net/1997/grieve.html	Nach dieser Zeit filtert man durch ein Papierfilter und bewahrt den Essig in gut verschlossenen Flaschen auf .	o	o	o	o	0	0	0	0
161	http://de.wikipedia.org/wiki/Norwegen	Denn das Thema Krieg oder Frieden gehört ins Parlament und es gehört an die Öffentlichkeit .	s	s	s	s	0	0	0	0
162	http://www.astro.uni-bonn.de/~dfischer/news/SuW-L-121-130.html	RX J1856.5-3754 wurde 1997 mit dem HST als extrem schwacher Lichtpunkt entdeckt , der aber keinerlei Helligkeitsveränderungen zeigt .	o	o	o	o	0	0	0	0
163	http://www.boersen-zeitung.de/ajax/bzpro_schwer_artikel.php?artikelID=820	Man sollte aber den Umstand würdigen , dass sich erstmals überhaupt echter Widerstand formiert , so dass Murdoch längst nicht mehr im kritikfreien Raum schalten und walten kann .	s	s	s	s	+	+	+	+
164	http://elib.uni-stuttgart.de/opus/volltexte/2008/3477/pdf/Dauner_Das_Gewissen.pdf	Die Rede vom dritten Tag unterstreicht die aus menschlicher Sicht unüberwindbare Not und Hilflosigkeit und zugleich die unerschütterliche Gewissheit der Rettung .	s	o	s	s	0	0	0	0
165	http://www.migrationsrat.de/index.php?option=com_content&amp;view=article&amp;id=58:schreibtischtaeter-wenn-leitkultur-zur-leidkultur-wird&amp;catid=8:diskriminierung&amp;Itemid=28	Ob eine Idee als Leitfaden gegenwärtiger Politik geeignet ist oder nicht , können nicht hitzige Wortgefechte entscheiden , sondern ruhiges Nachdenken .	s	o	s	s	0	0	0	0
166	http://www.ra-kotz.de/abfindung2.htm	Ist aber der Restbetrag von 41 250 DM für nicht sozial motivierte Zwecke verwendet worden , so ist die Entschädigungszahlung auf zwei Veranlagungszeiträume verteilt .	o	o	o	o	0	0	0	0
167	http://www.kindergartenpaedagogik.de/561.html	Wenn dies gelingt und sie die Kinder entdecken und ernst nehmen , wird es ihnen gelingen , alle Kinder gleichermaßen zu fordern - das behinderte Kind ebenso wie das durchschnittlich begabte oder das hoch begabte Kind .	s	s	s	s	+	+	+	+
168	http://www.wahlrecht.de/forum/messages/88/222.html?1094627419	Das sind doch minimale Bewegungen im Vergleich zu dem , was es auch in der jüngeren Vergangenheit bei realen Wahlen gegeben hat .	s	s	s	s	-	-	-	-
169	http://www.smgv.ch/pdf/10-10-29_Vernehmlassung-Scheinselbstndigkeit.pdf	 Es fehlte die strikte Kontrolle vor Ort .	s	s	s	s	-	-	-	-
170	http://www.schimmelpilz.de/newforum/newreply.php?postid=2609	An besagten Glassteinen ist es oft klatschnass auf den Kacheln darunter , am niedrigen normalen Fenster komischerweise nicht , obwohl beides Außenwand ist .	s	o	o	o	-	0	0	0
171	http://www.wienerzeitung.at/Desktopdefault.aspx?tabID=3946&amp;alias=wzo&amp;lexikon=Asien&amp;letter=A&amp;cob=6536	Weshalb die Gestalten Vishnus , Shivas und Krishnas die Säulen des Gebetssaales zieren , und auf den Kuppeln und Bögen kurvige , überquellende Ornamente mit dem aus Nordafrika und Persien importierten , streng geometrischen Dekor konkurrieren .	o	o	o	o	0	0	0	0
172	http://www.testedich.de/quiz22/quiz/1171062050/Seid-ihr-wirklich-wahre-Freunde	Wir sind ja wirklich wahre Freunde .	s	s	s	s	+	-	+	+
173	http://www.livenet.ch/information/feiertage/ostern/osterpredigt/115689-karfreitag_trauer_und_freude_gehoeren_zum_leben.html	Der Mensch hat die Fähigkeit , Leiden zu ertragen , Krisen durchzustehen , zu trauern und zu sterben .	s	s	s	s	+	+	+	+
174	http://v4.uebergebuehr.de/de/themen/schulpolitik/schulnoten-abschaffen/	Sie ersetzen im Laufe der Zeit die natürliche Motivation ( im Leben zurecht kommen wollen , Neugier ) durch eine künstliche Motivation ( gute Zensuren , Vermeidung von Bestrafung ) .	s	s	s	s	-	-	-	-
175	http://mazedonien.ahk.de/dienstleistungen/senior-expert-service/	Die Tätigkeit der Senior Experten ist auf schnelle pragmatische Hilfe vor Ort ausgerichtet .	o	o	o	o	0	0	0	0
176	http://www.vera-hewener.de/html/body_presseartikel.html	Hilft doch die Bewegung , ernsthaften Krankheiten und Verletzungen vorzubeugen .	o	o	o	o	+	0	+	+
177	http://www.kindergartenpaedagogik.de/941.html	Eine gesunde und sinnvolle Entwicklung der Kinder und die Vermeidung von verkehrsbedingten Defiziten beruht nun aber ganz entscheidend auf einer kinderfreundlichen Raum- und Verkehrspolitik .	o	o	o	o	0	0	0	0
178	http://www.palaestinensische-gemeinde.at/sept02.shtml	Wir wollen bewusst die Form des Schweigemarsches wählen , als Ausdruck für ein entschiedenes Zeichen der Ablehnung und Verurteilung von Okkupation , Ungerechtigkeit und Gewalt .	s	s	s	s	+	-	-	-
179	http://www.bo-alternativ.de/arno-kloenne.htm	Es kommt demokratisch motivierte Opposition auf , vielgestaltig und als Suchbewegung .	s	s	s	s	+	+	+	+
