381454356932861952	negative	@Vilinthril so wird das nix mit meiner Stimme für die Piraten ;-)	@Vilinthril so werden die nix mit mein Stimme für die Pirat ;-)	NN ADV VAFIN ART PIS APPR PPOSAT NN APPR ART NN $(	0/-- 3/MO 1/-- 3/SB 3/MO 3/MO 8/NK 6/NK 8/MNR 11/NK 9/NK 11/--	case=nom|gender=neut|num=sg Sentiment::markable_296::Sarcasm=false|Sentiment::markable_296::Intensity=medium|Sentiment::markable_296::Sentiment=True|Sentiment::markable_296::Polarity=negative pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_296::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_296::Sentiment=True gender=neut|*=True|Sentiment::markable_296::Sentiment=True|Negation::markable_299::Negation=True|Negation::markable_299::EmoExpressionRef=empty Sentiment::markable_296::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_296::Sentiment=True case=dat|EmoExpression::markable_298::Sarcasm=false|EmoExpression::markable_298::Uncertain=false|EmoExpression::markable_298::Polarity=positive|gender=fem|EmoExpression::markable_298::SubjectiveFact=false|num=sg|EmoExpression::markable_298::Intensity=medium|Sentiment::markable_296::Sentiment=True|EmoExpression::markable_298::EmoExpression=True Sentiment::markable_296::Sentiment=True case=acc|num=pl|Target::markable_297::Target=True|Target::markable_297::Preferred=true|Sentiment::markable_296::Sentiment=True|Target::markable_297::Anaphref=empty|gender=fem case=acc|gender=fem|num=pl|Target::markable_297::Target=True|Sentiment::markable_296::Sentiment=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|Sentiment::markable_296::Sentiment=True|EmoExpression::markable_1::Intensity=medium
384725173254905856	mixed	@ProSieben das ist doch ein Tippfehler . Eig. müsste es heissen : Mehr Geld für alle !! #ironieOff ;-)	@ProSieben die sein doch eine Tippfehler . Eig. müssen es heißen : mehr Geld für alle !! #ironieOff ;-)	NN PDS VAFIN ADV ART NN $. NN VMFIN PPER VVINF $. PIAT NN APPR PIAT ADJA NN $(	0/-- 3/SB 1/-- 3/MO 6/NK 3/PD 6/-- 11/MO 7/-- 9/SB 10/RE 11/-- 14/NK 17/OA 17/MO 15/NK 9/OC 17/-- 18/--	_ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_100500483::Polarity=negative|EmoExpression::markable_100500483::Intensity=weak|gender=masc|EmoExpression::markable_100500483::SubjectiveFact=false|EmoExpression::markable_100500483::EmoExpression=True|EmoExpression::markable_100500483::Uncertain=false|num=sg|EmoExpression::markable_100500483::Sarcasm=false _ _ pers=3|num=sg|tense=pres|mood=subj case=nom|gender=neut|num=sg|pers=3 _ _ *=True case=acc|gender=neut|num=sg _ case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl|pos=True case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=masc|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::EmoExpression=True
378888893443375104	positive	@jmbverlag Meine Tochter ist 5 und hat #Piraten angekreuzt . Schon alleine wegen des Namens :-)	@jmbverlag mein Tochter sein 5 und haben #Piraten ankreuzen . schon alleine wegen die Name :-)	NN PPOSAT NN VAFIN CARD KON VAFIN NN VVPP $. ADV ADV APPR ART NN $(	0/-- 3/NK 4/SB 1/-- 4/MO 4/CD 6/CJ 9/OA 7/OC 9/-- 12/MO 13/MO 10/-- 15/NK 13/NK 15/--	case=nom|gender=masc|num=sg case=nom|Source::markable_290::Source=True|Source::markable_290::Anaphref=empty|Source::markable_293::Anaphref=empty|gender=fem|Sentiment::markable_290::Sentiment=True|Sentiment::markable_290::Sarcasm=false|num=sg|Source::markable_293::Source=True|Sentiment::markable_290::Polarity=positive|Sentiment::markable_290::Intensity=medium case=nom|num=sg|Source::markable_293::Source=True|gender=fem|Source::markable_290::Source=True|Sentiment::markable_290::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_290::Sentiment=True Sentiment::markable_290::Sentiment=True Sentiment::markable_290::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_290::Sentiment=True case=acc|num=sg|Target::markable_292::Anaphref=empty|gender=masc|Sentiment::markable_290::Sentiment=True|Target::markable_292::Preferred=true|Target::markable_292::Target=True Sentiment::markable_290::Sentiment=True Sentiment::markable_290::Sentiment=True Sentiment::markable_293::Sentiment=True|Sentiment::markable_293::Polarity=positive|Sentiment::markable_293::Intensity=medium|Sentiment::markable_293::Sarcasm=false Sentiment::markable_293::Sentiment=True Sentiment::markable_293::Sentiment=True case=gen|Target::markable_294::Preferred=true|num=sg|Target::markable_294::Anaphref=empty|gender=masc|Target::markable_294::Target=True|Sentiment::markable_293::Sentiment=True case=gen|gender=masc|num=sg|Sentiment::markable_293::Sentiment=True|Target::markable_294::Target=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_293::Sentiment=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false
379286021516443650	negative	@ziesmannmedia @inuido @ZDF @CSU Pssst , das ist doch höhere Mathematik . ;-)	@ziesmannmedia @inuido @ZDF @CSU Pssst , die sein doch hoch Mathematik . ;-)	NN NE NE NN NN $, PDS VAFIN ADV ADJA NN $. $(	0/-- 1/-- 2/-- 3/-- 7/RE 5/-- 8/SB 4/-- 8/MO 11/NK 8/PD 11/-- 12/--	case=nom|gender=neut|num=pl case=nom|gender=neut|num=sg case=nom|Sentiment::markable_4::Sentiment=True|Sentiment::markable_4::Sarcasm=true|*=True|Sentiment::markable_4::Polarity=negative|Target::markable_6::Target=True|num=sg|Target::markable_6::Preferred=true|Sentiment::markable_4::Intensity=weak|Target::markable_6::Anaphref=empty case=nom|gender=fem|Target::markable_6::Target=True|num=sg|Sentiment::markable_4::Sentiment=True case=nom|gender=fem|Target::markable_6::Target=True|num=sg|Sentiment::markable_4::Sentiment=True Sentiment::markable_4::Sentiment=True|Target::markable_6::Target=True case=nom|gender=neut|Target::markable_6::Target=True|num=sg|Sentiment::markable_4::Sentiment=True pers=3|Sentiment::markable_4::Sentiment=True|Target::markable_6::Target=True|num=sg|tense=pres|mood=ind Sentiment::markable_4::Sentiment=True|Target::markable_6::Target=True case=acc|Sentiment::markable_4::Sentiment=True|Target::markable_6::Target=True|num=sg|comp=True|gender=fem case=acc|gender=fem|Target::markable_6::Target=True|num=sg|Sentiment::markable_4::Sentiment=True Sentiment::markable_4::Sentiment=True Sentiment::markable_4::Sentiment=True|EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=true|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
373173132783153152	positive	RT @alios : Nächste Woche unterschreiben die Europäischen Piraten das Manifesto zur Gründung der PP - EU :) http://t.co/rKFnBRqU8j	RT @alios : nah Woche unterschreiben die europäisch Pirat die Manifesto zu Gründung die PP - EU :) http://t.co/rKFnBRqU8j	NE NE $. ADJA NN VVFIN ART ADJA NN ART NN APPRART NN ART ADJA $( NN ADJA NN	2/PNC 0/-- 2/-- 5/NK 6/MO 3/-- 9/NK 9/NK 6/SB 11/NK 6/OA 11/MNR 12/NK 17/NK 17/NK 15/-- 13/AG 19/NK 17/NK	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl|pos=True case=acc|gender=fem|num=pl case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_7::EmoExpression=True|EmoExpression::markable_7::Uncertain=false|EmoExpression::markable_7::Intensity=medium|EmoExpression::markable_7::SubjectiveFact=false|gender=fem|EmoExpression::markable_7::Sarcasm=false|pos=True|EmoExpression::markable_7::Polarity=positive|num=sg case=nom|gender=fem|num=sg
372721805464571904	positive	ja , hier auch so ;-) RT @DieMone37 : Die #CSU abgeschlagen hinter der #CDU ... ;-)	ja , hier auch so ;-) RT @DieMone37 : die #CSU abschlagen hinter die #CDU ... ;-)	ADV $, ADV ADV ADV $( NE CARD $. ART NN VVPP APPR ART NN $. $(	5/DM 1/-- 5/MO 5/MO 7/MO 5/-- 0/-- 7/NK 8/-- 11/NK 12/SB 9/-- 12/MO 15/NK 13/NK 15/-- 16/--	_ _ _ _ _ EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::Sarcasm=false|EmoExpression::markable_8::EmoExpression=True|EmoExpression::markable_8::Uncertain=false _ _ _ case=nom|Target::markable_12::Target=True|Sentiment::markable_10::Sentiment=True|gender=fem|Sentiment::markable_10::Intensity=medium|Sentiment::markable_10::Polarity=positive|num=sg|Target::markable_12::Anaphref=empty|Sentiment::markable_10::Sarcasm=false|Target::markable_12::Preferred=true case=nom|gender=fem|Target::markable_12::Target=True|num=sg|Sentiment::markable_10::Sentiment=True EmoExpression::markable_300::SubjectiveFact=false|Target::markable_12::Target=True|EmoExpression::markable_300::Intensity=medium|Sentiment::markable_10::Sentiment=True|EmoExpression::markable_300::Uncertain=false|EmoExpression::markable_300::EmoExpression=True|EmoExpression::markable_300::Sarcasm=false|EmoExpression::markable_300::Polarity=negative Target::markable_12::Target=True|Sentiment::markable_10::Sentiment=True case=dat|gender=fem|Target::markable_12::Target=True|num=sg|Sentiment::markable_10::Sentiment=True case=dat|gender=fem|Target::markable_12::Target=True|num=sg|Sentiment::markable_10::Sentiment=True Sentiment::markable_10::Sentiment=True EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|Sentiment::markable_10::Sentiment=True|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false
373239015765336064	mixed	K2 Athena - Nur der linke Fuss knickt um von Phlox : Hallo :) Nach etwa zehnjähriger Pause habe ich mir heute ... http://t.co/dkHedh8aCL	K2 Athena - nur die links Fuß knicken um von Phlox : hallo :) nach etwa zehnjährig Pause haben ich ich heute ... http://t.co/dkHedh8aCL	NE NE $( ADV ART ADJA NN VVFIN APPR APPR NN $. ITJ NN APPR ADV ADJA NN VAFIN PPER PRF ADV $. NN	2/PNC 0/-- 4/-- 7/MO 7/NK 7/NK 8/SB 2/-- 10/AC 8/MO 10/NK 11/-- 14/NK 11/APP 14/MNR 17/MO 18/NK 15/NK 8/CJ 19/SB 22/DA 19/OC 22/-- 23/--	*=True case=nom|gender=neut|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_100500513::Uncertain=false|mood=ind|EmoExpression::markable_100500513::SubjectiveFact=false|pers=3|EmoExpression::markable_100500513::EmoExpression=True|num=sg|tense=pres|EmoExpression::markable_100500513::Sarcasm=false|EmoExpression::markable_100500513::Polarity=negative|EmoExpression::markable_100500513::Intensity=medium EmoExpression::markable_100500513::EmoExpression=True _ case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_13::EmoExpression=True|gender=masc|num=sg|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false _ _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=dat|*=True|num=sg|pers=1 _ _ case=nom|gender=fem|num=sg
357579539154599936	negative	@netz4ktivisten Was erwartest du ? Bayern ist die #CSU und die #CSU ist Bayern :(	@netz4ktivisten was erwarten du ? Bayern sein die #CSU und die #CSU sein Bayern :(	NN PIS VVFIN PPER $. NE VAFIN ART NN KON ART NN VAFIN NE ADJA	0/-- 3/OA 1/-- 3/SB 4/-- 7/SB 5/-- 9/NK 7/SB 7/CD 12/NK 13/SB 10/CJ 13/SB 13/MO	case=nom|gender=masc|num=pl case=nom|gender=neut|num=sg pers=2|num=sg|tense=pres|mood=ind *=True _ case=nom|Sentiment::markable_14::Sentiment=True|Sentiment::markable_14::Polarity=negative|Target::markable_16::Target=True|gender=neut|Target::markable_16::Anaphref=empty|Sentiment::markable_14::Intensity=medium|num=sg|Target::markable_16::Preferred=true|Sentiment::markable_14::Sarcasm=false pers=3|Sentiment::markable_14::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_16::Target=True case=nom|gender=fem|Sentiment::markable_14::Sentiment=True|num=sg|Target::markable_16::Target=True case=nom|gender=fem|Sentiment::markable_14::Sentiment=True|num=sg|Target::markable_16::Target=True Sentiment::markable_14::Sentiment=True|Target::markable_16::Target=True case=nom|gender=fem|Sentiment::markable_14::Sentiment=True|num=sg|Target::markable_16::Target=True case=nom|gender=fem|Sentiment::markable_14::Sentiment=True|num=sg|Target::markable_16::Target=True pers=3|Sentiment::markable_14::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_16::Target=True case=nom|gender=neut|Sentiment::markable_14::Sentiment=True|num=sg|Target::markable_16::Target=True EmoExpression::markable_15::Polarity=negative|Sentiment::markable_14::Sentiment=True|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
371194895031365632	positive	RT @airjibeer : 1042  schon da ... direkt vor dem infostand der #grünen :-) #s21 http://t.co/n4ru0pRkEr	RT @airjibeer : @card@ schon da ... direkt vor die Infostand die #grünen :-) #s21 http://t.co/n4ru0pRkEr	NE ADJD $. CARD ADV ADV $. ADJD APPR ART NN ART NN $( CARD NN	0/-- 1/PD 2/-- 3/-- 6/MO 4/PNC 6/-- 9/MO 15/MO 11/NK 9/NK 13/NK 11/AG 13/-- 16/NK 7/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ _ _ _ pos=True _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ gender=masc|*=True
381364631236644865	positive	RT @mib303 : CDU hat angefragt , ob man mich zum Ballon basteln buchen kann . Ich kann doch gar keine Lemminge . :-) #piraten	RT @mib303 : CDU haben anfragen , ob man ich zu Ballon basteln buchen können . ich können doch gar keine Lemminge . :-) #piraten	NE NN $. NE VAFIN VVPP $, KOUS PIS PRF APPRART NN VVINF VVINF VMFIN $. PPER VMFIN ADV ADV PIAT NN $. $( NN	2/SB 0/-- 2/-- 5/SB 3/-- 5/OC 6/-- 15/CP 15/SB 13/OA 13/MO 11/NK 14/OC 15/OC 6/OC 15/-- 18/SB 16/-- 18/MO 21/MO 22/NK 18/SB 22/-- 25/-- 23/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|*=True|num=sg case=acc|*=True|num=sg|pers=1 case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium pers=3|num=pl|tense=past|mood=ind
381818542225494017	negative	RT @s3sebastian : Das Wahlergebnis riecht nach Vorratsdatenspeicherung #btw13 :-(	RT @s3sebastian : die Wahlergebnis riechen nach Vorratsdatenspeicherung #btw13 :-(	NE NE $. ART NN VVFIN APPR NN CARD $(	2/PNC 0/-- 2/-- 5/NK 6/SB 3/-- 6/MO 7/NK 6/MO 9/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|Target::markable_21::Target=True|Target::markable_21::Anaphref=empty|gender=neut|Sentiment::markable_20::Intensity=medium|num=sg|Sentiment::markable_20::Sentiment=True|Sentiment::markable_20::Sarcasm=false|Sentiment::markable_20::Polarity=negative|Target::markable_21::Preferred=true case=nom|gender=neut|num=sg|Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_21::Target=True|Sentiment::markable_20::Sentiment=True Sentiment::markable_20::Sentiment=True EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|Sentiment::markable_20::Sentiment=True|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=negative
377538254427258880	positive	RT @ze3t : Der #Sachsenspiegel begleitet @Altstadtpirat und @Fl0range auf Wahlkampf im Regen :) http://t.co/pXWCthMyuU #DresdenOrange #Pirat …	RT @ze3t : die #Sachsenspiegel begleiten @Altstadtpirat und @Fl0range auf Wahlkampf in Regen :) http://t.co/pXWCthMyuU #DresdenOrange #Pirat …	NE ADJD $. ART NN VVFIN NN KON NN APPR NN APPRART NN ADJA NN ADJA NN ADJD	0/-- 1/PD 2/-- 5/NK 6/SB 3/-- 6/OA 9/JU 7/-- 16/MO 10/NK 11/MNR 12/NK 15/NK 13/AG 17/NK 9/-- 17/PD	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg _ case=nom|gender=masc|num=pl _ case=acc|gender=masc|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg case=gen|EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_22::EmoExpression=True|num=pl|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::Polarity=positive case=gen|gender=masc|num=pl case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _
382116848201777152	negative	@DerTimsen Die Grünen sind ja auch nicht Fleisch und Fisch . Und auf mehr lässt sich die CDU auch nicht ein . :)	@DerTimsen die Grüne sein ja auch nicht Fleisch und Fisch . und auf mehr lassen sich die CDU auch nicht ein . :)	NN ART NN VAFIN ADV ADV PTKNEG NN KON NN $. KON APPR ADV VVFIN PRF ART NE ADV PTKNEG PTKVZ $. ADJA	0/-- 3/NK 4/SB 1/-- 4/MO 8/MO 8/NG 4/SB 8/CD 9/CJ 10/-- 15/JU 15/MO 13/NK 11/-- 15/OA 18/NK 15/SB 15/MO 15/NG 15/SVP 21/-- 22/--	_ case=nom|Target::markable_302::Anaphref=empty|Sentiment::markable_301::Intensity=medium|Sentiment::markable_301::Sarcasm=false|Sentiment::markable_301::Sentiment=True|*=True|Target::markable_302::Target=True|num=pl|Target::markable_302::Preferred=true|Sentiment::markable_301::Polarity=negative case=nom|*=True|num=pl|Target::markable_302::Target=True|Sentiment::markable_301::Sentiment=True pers=3|Sentiment::markable_301::Sentiment=True|num=pl|tense=pres|mood=ind Sentiment::markable_301::Sentiment=True Sentiment::markable_301::Sentiment=True EmoExpression::markable_100500514::EmoExpression=True|EmoExpression::markable_100500514::Intensity=medium|EmoExpression::markable_100500514::Uncertain=false|EmoExpression::markable_100500514::SubjectiveFact=false|EmoExpression::markable_100500514::Polarity=negative|EmoExpression::markable_100500514::Sarcasm=false|Sentiment::markable_301::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_301::Sentiment=True|EmoExpression::markable_100500514::EmoExpression=True EmoExpression::markable_100500514::EmoExpression=True|Sentiment::markable_301::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_301::Sentiment=True|EmoExpression::markable_100500514::EmoExpression=True Sentiment::markable_301::Sentiment=True _ _ _ mood=ind|EmoExpression::markable_100500515::Intensity=weak|pers=3|num=sg|tense=pres|EmoExpression::markable_100500515::EmoExpression=True|EmoExpression::markable_100500515::Uncertain=false|EmoExpression::markable_100500515::Polarity=positive|EmoExpression::markable_100500515::Sarcasm=false|EmoExpression::markable_100500515::SubjectiveFact=false case=acc|pers=3|num=sg|EmoExpression::markable_100500515::EmoExpression=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ EmoExpression::markable_100500515::EmoExpression=True _ EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
375345686994513920	positive	RT @Memet_Kilic : Seehofer " Ich bin ein Architekt der Energiewende " . Ja Horst , du bist auch Kaiser von China :) #tvduell #ltwby13 #Horst	RT @Memet_Kilic : Seehofer " ich sein eine Architekt die Energiewende " . ja Horst , du sein auch Kaiser von China :) #tvduell #ltwby13 #Horst	NE NN $. NE $( PPER VAFIN ART NN ART NN $( $. ADV NE $, PPER VAFIN ADV NN APPR NE ADJA NN CARD NN	2/SB 0/-- 2/-- 7/SB 4/-- 7/SB 3/-- 9/NK 7/PD 11/NK 9/AG 11/-- 12/-- 15/MO 13/-- 15/-- 18/SB 15/RS 20/MO 18/PD 20/PG 24/AG 24/NK 21/NK 26/NK 18/MO	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|*=True|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ _ Sentiment::markable_24::Intensity=medium|Sentiment::markable_24::Sarcasm=true|Sentiment::markable_24::Polarity=positive|Sentiment::markable_24::Sentiment=True case=nom|Sentiment::markable_24::Sentiment=True|num=sg|gender=masc|Target::markable_26::Target=True|Target::markable_26::Preferred=true|Target::markable_26::Anaphref=empty Sentiment::markable_24::Sentiment=True case=nom|pers=2|num=sg|Sentiment::markable_24::Sentiment=True|*=True|Target::markable_26::Target=True pers=2|Sentiment::markable_24::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_26::Target=True Sentiment::markable_24::Sentiment=True|Target::markable_26::Target=True case=nom|gender=masc|num=sg|Target::markable_26::Target=True|Sentiment::markable_24::Sentiment=True Sentiment::markable_24::Sentiment=True|Target::markable_26::Target=True case=dat|gender=neut|num=sg|Target::markable_26::Target=True|Sentiment::markable_24::Sentiment=True case=dat|EmoExpression::markable_25::Polarity=positive|gender=neut|pos=True|EmoExpression::markable_25::EmoExpression=True|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_25::Intensity=medium|num=sg|EmoExpression::markable_25::Sarcasm=true|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false case=dat|gender=neut|num=sg _ pers=2|num=sg|tense=pres|mood=ind
